# EU4PROVINCE;EU4TAG;Comments
851;TAR;
849;TLA;
850;TLX;
848;TLX;
847;TLA;
844;KIC;
845;AZT;
846;AZT;
842;KIC;
843;AZT;
841;KIC;
840;AZT;
839;KIC;
838;AZT;
837;AZT;
836;MCA;
835;MCA;
826;MCA;
827;MCA;
828;MCA;
823;MCA;
824;MCA;
832;MCA;
829;MCA;
830;MCA;
859;AZT;
860;AZT;
861;AZT;
883;AZT;
884;AZT;
864;AZT;
862;AZT;
863;AZT;
866;AZT;
865;AZT;
882;AZT;
883;AZT;
888;AZT;
893;AZT;
921;AZT;
922;AZT;
484;AZT;
485;AZT;
486;AZT;
483;AZT;
481;AZT;
923;AZT;
924;AZT;
930;AZT;
929;AZT;
932;AZT;
933;AZT;
894;AZT;
887;AZT;
886;AZT;
885;AZT;
892;AZT;
895;AZT;
891;AZT;
877;AZT;
879;AZT;
881;AZT;
854;TAR;
855;TAR;
856;AZT;
858;AZT;
857;AZT;
853;AZT;
852;AZT;
815;INC;
817;INC;
818;INC;
819;INC;
820;INC;
821;INC;
822;INC;
825;MCA;
803;INC;
802;INC;
801;INC;
800;INC;
797;INC;
796;INC;
795;INC;
793;INC;
794;INC;
791;INC;
799;INC;
792;INC;
787;INC;
785;INC;
784;INC;
783;INC;
779;INC;
786;INC;
780;INC;
781;INC;
782;INC;
812;INC;
816;INC;
813;INC;
814;INC;
811;INC;
809;INC;
810;INC;
808;INC;
807;INC;
804;INC;
805;INC;
806;INC;
926;CRE;
927;CRE;
482;CRE;
928;CRE;
487;MAY;
488;MAY;
489;MAY;
490;MAY;
492;MAY;
493;MAY;
1881;MAY;
494;MAY;
495;MAY;
496;MAY;
497;MAY;
491;MAY;
931;CHE;
935;CHE;
949;CHE;
936;CHE;
2011;CHE;
952;CHE;
937;CHE;
938;CHE;
950;CHE;
876;NAH;
867;NAH;
868;NAH;
869;NAH;
870;NAH;
2021;NAH;
880;PUE;
889;PUE;
2009;PUE;
890;PUE;
1809;PUE;
2008;PUE;
