#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Decision :: Abdicate/Resign

# Round Table :: Laws
round_table_law;The Round Table;;;;;;;;;x
round_table_law_desc;Your ancestors would congregate around a legendary council with their subjects as equals.;;;;;;;;;x
round_table_law_0;Round Table Council Abolition;;;;;;;;;x
round_table_law_0_option;Extinct;;;;;;;;;x
round_table_law_0_desc;Attempt to disband the Round Table.;;;;;;;;;x
round_table_law_1;Round Table;;;;;;;;;x
round_table_law_1_option;Restored;;;;;;;;;x
round_table_law_1_desc;Attempt to emulate the Round Table.;;;;;;;;;x

# Round Table :: Artifacts :: Minor Titles :: Modifiers :: Traits
green_axe;§ZGreen Axe§!;;;;;;;;;x
green_axe_desc;This splendid axe belonged to the Green Knight. It shines wondrous sheens of green and gold and has strange patterns engraved. This four feet long colossus strikes both dread and awe into the hearts of men.;;;;;;;;;x
bestowed_green_axe_tooltip;is bestowed the §ZGreen Axe§!;;;;;;;;;x
title_knight_round_table;Knight of the Round Table;;;;;;;;;x
title_knight_round_table_desc;These noble knights embody the chivalric virtues and are the envy of mortals.;;;;;;;;;x
#title_paramount_knight_desc;This paragon of chivalric virtue is the envy of the realm - every man wants to be like him and sees his friends as their friends;Ce modèle de vertu suscite l'envie de tous. Chaque homme rêve de lui ressembler et d'avoir les mêmes amis.;Dieses Vorbild ritterlicher Werte wird vom ganzen Reich beneidet - jeder Mann möchte so sein wie er und sieht seine Freunde als die eigenen an;;Modelo de virtud caballeresca envidia del reino. Todos los hombres quieren ser como él y sienten aprecio por sus amigos.;;;;;;;;;x
twi_chivalrous;Chivalrous;;;;;;;;;;;;;x
twi_chivalrous_desc;This character is a paragon of chivalric virtue, living and fighting for the sake of glory, honour, virtue, eloquence and courtly love. [Root.GetSheHeCap] despises wrongful quarrels and worldly gains.;;;;;;;;;;;;;x
twi_loyal;Loyal;;;;;;;;;;;;;x
twi_loyal_desc;This character is loyal and not fond of plotting and betrayal.;;;;;;;;;;;;;x

# Round Table :: Events
EVTNAME_RTABLE_1;The Round Table;;;;;;;;;x
