EVTDESCgenocide.0001;There is no more population in [From.GetName]. Those who are still alive are [Root.Culture.GetName] and [Root.Religion.GetName];Il n'y a plus vraiment de population en [From.GetName]. Ceux qui restent sont [Root.Culture.GetName] et [Root.Religion.GetName].;;;;;;;;;;;;x
EVTDESCgenocide.0002;A courier is brought before me with a message, telling me that [FromFrom.GetTitledFirstName] has sent soldiers to [From.GetName] who have killed the populace. Those left are [Root.Culture.GetName] et [Root.Religion.GetName].;Un messager est présenté devant moi avec un message, me disant que [FromFrom.GetTitledFirstName] a envoyé des soldats en [From.GetName] qui ont tué toute la population. Ceux qui restent sont [Root.Culture.GetName] et [Root.Religion.GetName].;;;;;;;;;;;;x
EVTOPTAgenocide.0004;Will I have to burn all the villagers myself ?!;Est-ce que je vais devoir brûler moi même tout les villageois?!;;;;;;;;;;;;x
EVTDESCgenocide.0004;Obviously, the local populations does not appreciate the fact of being massacred, even if our action of standardization is completely legitimate! It will therefore be necessary to deal with the rebels who defend their families...;Visiblement, la population locale n'apprécie pas la fait de se faire massacrer, même si notre action d'uniformisation est complètement légitime! Il va donc falloir s'occuper des rebelles qui défendent leurs familles...;;;;;;;;;;;;x
EVTDESCgenocide.0005;Your co-religionist did not appreciate your conduct. They say that slaying people remains a sin, even if they are different. It was therefore decided to exclude you from your religion.;Vos coreligionnaire n'ont pas apprécié votre conduite. Ils disent que massacrer des gens reste un pécher, même si ils sont différents. Il a donc été décidé de vous exclure de votre religion.;;;;;;;;;;;;x

EVTTITLEgenocide.0006;Consequences of the genocide;Conséquence du génocide;;;;;;;;;;;;x
EVTDESCgenocide.0006;Once again, you wake up thinking of all the people you've killed. At the time, the decision seemed good and logical, but the more time passes and the more you doubt. Suddenly a shadow catches your attention. You are not alone in your chamber! A man faces you, he's a nobody for you. Nevertheless, you quickly see that he is a stranger. As he draws his sword, he whispers: "I will finally be able to avenge my family ...".;Encore une fois, vous vous réveillez en pensant à tout les gens que vous avez tué. Sur le moment, la décision avait paru bonne et logique, mais plus le temps passe et plus vous doutez. Soudain, une ombre attire votre attention. Vous n'êtes pas seul dans votre chambre! Un homme vous fait face, il vous est inconnu. Néanmoins, vous voyez rapidement que c'est un étranger. Alors qu'il dégaine son épée, il murmure: "Je vais enfin pouvoir venger ma famille...".;;;;;;;;;;;;x
EVTOPTAgenocide.0006;Implore forgiveness;Implorer pardon;;;;;;;;;;;;x
EVTOPTA_Genocide_0006_TOOLTIPA;You manage to lower his sword...;Vous arrivez à lui faire baisser son épée...;;;;;;;;;;;;x
EVTOPTA_Genocide_0006_TOOLTIPB;He does not pay attention to your pleas...;Il ne fait pas attention à vos supplications...;;;;;;;;;;;;x
