#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_library;Castle Library;Bibliothèque du château;Burgbibliothek;;Biblioteca del castillo;;;;;;;;;x
ca_study;Personal Study;Bureau personnel;Persönliches Studierzimmer;;Officium Privatus.;;;;;;;;;x
fp_study;Personal Study;Bureau personnel;Persönliches Studierzimmer;;Officium Privatus.;;;;;;;;;x
ca_study_desc;A place for intensive studying away from the bustle of court life.;Un endroit au calme pour étudier intensivement, loin de l'agitation de la cour.;Ein ruhiger Ort für intensives Studium, weit weg von der Hektik des höfischen Lebens.;;Un lugar para estudiar lejos del bullicio de la corte.;;;;;;;;;x
ca_library_desc;An archive of knowledge.;Les archives du savoir.;Ein Archiv des Wissens.;;Un lugar de conocimiento.;;;;;;;;;x
library_pos;Allowed to use Library;Accès autorisé à la bibliothèque.;Darf Bibliothek nutzen;;Puedes usar la Biblioteca.;;;;;;;;;x
library_neg;Denied use of Library;Accès refusé à la bibliothèque.;Darf Bibliothek nicht nutzen;;No puedes usar la Biblioteca;;;;;;;;;x
throw_book_neg;Hit by Book;Frappé par un livre.;Von Buch getroffen;;Golpeado por un libro.;;;;;;;;;x
throw_pond_neg;Pushed into the Pond;Poussé dans l'étang.;In den Teich gestoßen;;Empujado al estanque.;;;;;;;;;x
bio_pos;Brought Honor to Us All;Nous rend tous les honneurs.;Brachte uns allen Ehre;;Has traido gran honor a todos nosotros.;;;;;;;;;x
bio_neg;Brought Us Great Dishonor;Nous inflige une grande honte.;Brachte große Schande über uns;;Nos has causado gran deshonor.;;;;;;;;;x
poem_pos;Liked Poem;A aimé le poème.;Mochte das Gedicht;;Excelente poema.;;;;;;;;;x
poem_neg;Hated Poem;A détesté le poème.;Hasste das Gedicht;;Horrible poema.;;;;;;;;;x
training_yard_pos;Allowed to use Training Yard;Accès autorisé au terrain d'exercice.;Darf Übungsplatz nutzen;;Puedes usar la palestra.;;;;;;;;;x
