ca_mead_cellar;Mead Cellar;Cave d'hydromel;Metkeller;;Bodega de Hidromiel.;;;;;;;;;x
ca_mead_cellar_desc;Any decent norse ruler keeps a full stock of meads in case of feasts or guests. §GUnlocks The Banquet Hall upgrade.§!;Tout souverain nordique décent conserve une réserve complète d'hydromel pour les fêtes ou les invités. §GDébloque l'amélioration salle de réception.§!;Jeder anständige nordische Herrscher hält eine vollständige Bestandsaufnahme von Met für Festessen oder Gastbesuche bereit. §Germöglicht die Festsaal-Verbesserung.§!;;Cualquier gobernante nórdico decente mantiene una Bodega llena de hidromieles en caso de recibir invitados o dar una fiesta. §GDesbloquea la mejora del salón para banquetes.§!;;;;;;;;;x
ca_wine_cellar_desc;The wine cellar is the optimal place to store your treasured vintages and keep them from spoiling. §GUnlocks The Banquet Hall upgrade.§!;La cave à vin est l'endroit optimal pour conserver vos précieux millésimes et les empêcher de se gâter. §GDébloque l'amélioration salle de réception.§!;Der Weinkeller ist der optimale Ort, um Eure wertvollen Jahrgängen zu lagern und vor dem Verderb zu schützen. §GErmöglicht die Festsaal-Verbesserung.§!;;La bodega es el lugar óptimo para almacenar las preciadas cosechas de vinos y evitar que se echen a perder. §GDesbloquea la mejora del salón para banquetes.§!;;;;;;;;;x
EVTDESCwinnor1;Now that you have a place to store your meads, you may buy them in greater volumes. This will cut costs and save you the shame of having to serve water to your guests. ;Maintenant que vous avez un endroit pour stocker vos hydromels, vous pouvez les acheter dans des volumes plus importants. Cela permettra de réduire les coûts et vous épargner la honte d'avoir à servir de l'eau à vos invités.;Nun, wo ihr einen Ort habt um Euren Met zu lagern, könnt ihr ihn in größeren Mengen kaufen. Dies wird die Kosten senken und erspart Euch die Schande, Eure Gästen nur mit schnödem Wasser bedienen zu können.;;Ahora que tienes un lugar para almacenar el hidromiel, puedes comprar en mayores volúmenes. Esto reducirá los costos y te ahorrara la vergüenza de tener que servir agua a tus invitados.;;;;;;;;;x
EVTDESCwinnor2;Mead has been disappearing from the cellar and you suspect one of your courtiers is behind it.;De l'hydromel a disparu de la cave et vous soupçonnez qu'un de vos courtisans en est responsable.;Etwas Met ist aus Eurem Keller verschwunden und ihr verdächtigt einen Eurer Höflinge.;;EL hidromiel ha ido desapareciendo de la bodega y sospechas que uno de tus cortesanos está detrás de esto..;;;;;;;;;x
EVTDESCwinnor5;The realm has fallen upon hard times and the treasury is empty, but the mead cellar is full of valuable vintages that have been collected by your predecessors. Although it would be a sign of your failure to manage your affairs, it would be possible to pay back a portion of your debt by selling some of your precious meads. ;Le domaine vit des moments difficiles et le trésor est vide. Mais la cave est pleine de millésimes précieux rassemblés par vos prédecesseurs. Bien qu'il s'agirait d'un signe de votre incapacité à gérer vos affaires, il serait possible de rembourser une partie de la dette en vendant quelques-uns de vos précieux hydromels.;Schwere Zeiten sind für Euer Reich angebrochen. Die Schatzkammer ist leer. Der Metkeller ist allerdings voll von wertvollen Jahrgängen, die von Euren Vorgängern gesammelt wurden. Es wäre zwar eine Schande, doch wäre es möglich, einen Teil der Schulden durch den Verkauf von Teilen des wertvollen Mets zurückzuzahlen.;;Tiempos difíciles han caido sobre el reino y la tesorería está vacía, pero la bodega de hidromiel está llena de cosechas valiosas que han sido recogidas por tus predecesores. Aunque sería un signo de debilidad ante los otros, sería posible pagar una porción de la deuda mediante la venta de algunos de los hidromieles mas preciosos.;;;;;;;;;x
winnor5opt1;Never!;Jamais !;Niemals!;;¡Nunca!.;;;;;;;;;x
winnor5opt2;It's for the best.;C'est pour le mieux.;Es ist besser so.;;Es lo mejor.;;;;;;;;;x
convert_mead_cellar_to_wine_cellar;Trade meads for wines;Échanger de l'hydromel contre du vin.;Tausche Met für Wein;;Cambiar el Hidromiel por vinos.;;;;;;;;;x
convert_mead_cellar_to_wine_cellar_desc;Though once your ancestors' most desired drink, the mead has lost its place in your court. ;Bien qu'autrefois la boisson la plus désirée par vos ancêtres, l'hydromel a perdu sa place dans votre cour.;Obwohl der Met einst bei Euren Vorfahren am beliebtesten war, hat er nun seine Stellung an Eurem Hof verloren.;;Aunque una vez fue la bebida mas deseada por tus antepasados el hidromiel ahora a perdido lugar en tu corte.;;;;;;;;;x
convert_wine_cellar_to_mead_cellar;Trade wines for meads;Échanger du vin contre de l'hydromel.;Tausche Wein für Met;;Cambiar el vino por hidromiel.;;;;;;;;;x
convert_wine_cellar_to_mead_cellar_desc;Mead is the only drink suitable for a norseman.;L'hydromel est la seule boisson convenable pour un norse.;Met ist doch das einzig wahre Getränk für einen Nordmann.;;El hidromiel es la unica bebida aceptable para un Nordico.;;;;;;;;;x
ca_library_2;Grand Library;Grande Bibliothèque;Große Bibliothek;;Gran Biblioteca.;;;;;;;;;x
ca_library_2_desc;Although no Alexandria, the vast collection of tomes and scrolls passed down through the ages that now resides here is a testament to the great wisdom of your house. The great minds of the past rest upon these shelves, ever ready to serve you and provide guidance for your august reign.;Bien que ce ne soit pas Alexandrie, la vaste collection de tomes et parchemins transmis à travers les âges qui réside ici est un témoignage de la grande sagesse de votre maison. Les grands esprits du passé restent sur ces étagères, toujours prêt à vous servir et à vous apporter des conseils pour votre auguste règne.;Obwohl es kein Alexandria ist, stellt die große Sammlung von Folianten und Schriftrollen, die über Jahrhunderte hinweg überliefert wurden und jetzt hier ihren Platz haben, einen Beweis für die große Weisheit Eures Hauses dar. Die großen Geister der Vergangenheit ruhen auf diesen Regalen, immer bereit, Euch zu dienen und Euch Ratschläge für Eure erhabene Herrschaft zu geben.;;Aunque no es ningúna Alejandría, la gran colección de tomos y pergaminos heredada por decadas, que ahora reside aquí es un testimonio de la gran sabiduría de tu casa. Las grandes mentes del pasado descansan sobre estos estantes, siempre dispuesto a servirle y proporcionan una guía para tu augusto reinado.;;;;;;;;;x
ca_chapel_2;Royal Chapel;Chapelle Royale;Königliche Kapelle;;Capilla Real.;;;;;;;;;x
ca_chapel_2_desc;Although not much in terms of space, the chapel offers a spiritual refuge for a ruler to pray and meditate as needed. The walls are ornately decorated with images of the great figures of the faith, ever watchful over the souls that pray here. §GThe Royal Chapel grants +1 learning for the realm's lord spiritual.§!;Bien que petite, la chapelle offre un refuge spirituel au souverain pour prier et méditer. Les murs sont richement ornés par des images de grandes figures de la foi, veillant sur les âmes qui y prient. §GLa chapelle royale accorde +1 au savoir d'état du souverain.§!;Obwohl sie nicht sehr groß ist, bietet die Kapelle einen spirituellen Zufluchtsort für einen Herrscher, um zu beten und zu meditieren. Die Wände sind kunstvoll mit Bildern von großen Persönlichkeiten des Glaubens verziert, immer über die Seelen wachend, die hier beten. §GDie Königliche Kapelle gewährt +1 Bildung für den Geistlichen Herrscher des Reiches.§!;;Aunque no es mucho en términos de espacio, la capilla ofrece al gobernante un refugio espiritual para orar y meditar, según sea necesario. Las paredes están ricamente decoradas con imágenes de las grandes figuras de la fe, siempre vigilantes sobre las almas que oran aquí. §GLa Capilla Real ofrece +1 en aprendizaje espiritual al gobernante.§!;;;;;;;;;x
ca_garden_4;Royal Garden;Jardin Royal;Königliche Gärten;;Jardin Real;;;;;;;;;x
ca_garden_4_desc;Dignitaries and ambassadors often find themselves at a loss for words upon seeing the massive and intricate complex of ponds, exotic plants, majestic trees, and a towering maze to mark its boundaries. It is truly a magnificent monument to the greatness of your house.;Dignitaires et ambassadeurs perdent souvent leurs mots devant l'immense et délicat complexe d'étangs, de plantes exotiques, d'arbres majestueux ainsi qu'un imposant labyrinthe marquant ses limites. Il s'agit d'un magnifique monument dédié à la grandeur de votre maison.;Würdenträger und Botschafter finden beim Anblick der riesigen und komplizierten Anlage, bestehend aus Teichen, exotischen Pflanzen, majestätischen Bäumen und einem hoch aufragenden Labyrinth, das seine Grenzen markiert, oft keine Worte. Es ist wirklich ein großartiges Denkmal für die Größe Eures Hauses.;;Los dignatarios y embajadores se encuentran a menudo sin palabras al ver el enorme e intrincado complejo de estanques, plantas exóticas, majestuosos árboles imponentes y un laberinto para marcar sus límites. Es verdaderamente un magnífico monumento a la grandeza de tu casa.;;;;;;;;;x
ca_chapel_2_learning;Royal Chapel;Chapelle Royale;Königliche Kapelle;;Capilla Real.;;;;;;;;;x
ca_observatory;Observatory;Observatoire;Observatorium;;Observatorio.;;;;;;;;;x
ca_observatory_desc;The highest tower in your castle, the Observatory offers a pristinely clear view of the stars above. However, your interest in astrology has met with disapproval from the religious authorities of the realm §Rand will result in a loss of piety!§!;Plus haute tour de votre château, l'observatoire offre une vue dégagée sur les étoiles. Cependant, votre intérêt pour l'astrologie a rencontré la désapprobation des autorités religieuses du royaume. §Ret se traduit pas une perte de piété !§!;Als höchster Turm Eurer Burg, bietet das Observatorium eine makellos klare Sicht auf den Sternenhimmel. Doch Euer Interesse an der Astrologie stößt auf Ablehnung von den religiösen Autoritäten des Reiches §Rund führt zu einem Verlust von Pietät! §!;;La torre más alta del castillo, el Observatorio ofrece una visión clara e impecable de las estrellas del cielo. Sin embargo, tu interés en la astrología ha reunido la desaprobación de las autoridades religiosas del reino §!Mantener esto te hara perder piedad¡.§!;;;;;;;;;x
ca_observatory_desc_muslim;The highest tower in your castle, the Observatory offers a pristinely clear view of the stars above. ;Plus haute tour de votre château, l'observatoire offre une vue dégagée sur les étoiles.;Als höchster Turm Eurer Burg, bietet das Observatorium eine makellos klare Sicht auf den Sternenhimmel.;;La torre más alta del castillo, el Observatorio ofrece una visión clara e impecable de las estrellas del cielo.;;;;;;;;;x
fp_observatory;Observatory;Observatoire;Observatorium;;Observatorio.;;;;;;;;;x
fp_observatory_desc;The highest tower in your palace, the Observatory offers a pristinely clear view of the stars above. However, your interest in astrology has met with disapproval from the religious authorities of the realm §Rand will result in a loss of piety!§!;Plus haute tour de votre château, l'observatoire offre une vue dégagée sur les étoiles. Cependant, votre intérêt pour l'astrologie a rencontré la désapprobation des autorités religieuses du royaume. §Ret se traduit pas une perte de piété !§!;Als höchster Turm Eurer Burg, bietet das Observatorium eine makellos klare Sicht auf den Sternenhimmel. Doch Euer Interesse an der Astrologie stößt auf Ablehnung von den religiösen Autoritäten des Reiches §Rund führt zu einem Verlust von Pietät! §!;;La torre más alta del palacio, el Observatorio ofrece una visión clara e impecable de las estrellas del cielo. Sin embargo, tu interés en la astrología ha reunido la desaprobación de las autoridades religiosas del reino §!Mantener esto te hara perder piedad¡.§!;;;;;;;;;x
ca_observatory_piety;Observatory;Observatoire;Observatorium;;Observatorio.;;;;;;;;;x
