EVTDESCPERCAS0;The scholars of your court have asked your permission to use the library for personal use.;Les savants de votre cour ont demandé la permission d'utiliser la bibliothèque à des fins personnelles.;Die Gelehrten Eures Hofes bitten um Eure Erlaubnis, die Bibliothek für ihren persönlichen Gebrauch verwenden zu dürfen.;;Los estudiosos de la  corte han pedido tu permiso para utilizar la biblioteca para uso personal.;;;;;;;;;x
allow_library;Sharing the knowledge would benefit us all.;Partager ces connaissances sera profitable à tous.;Das Wissen mit ihnen zu teilen würde uns allen zugute kommen.;;Compartir el conocimiento nos beneficiara a todos.;;;;;;;;;x
dont_allow_library;I won't have them tarnish my precious archives!;Je ne vais pas les laisser salir mes précieuses archives !;Ich werde nicht zulassen, dass sie einen Schatten auf meine kostbaren Archive werfen.;;No quiero que pongan sus manos sucias sobre mis preciosos libros.;;;;;;;;;x
EVTDESCPERCAS1; As you walk along your library's corridors, you wonder if you will ever have time to read even half of the books stored there.;Comme vous marchez le long des rayons de votre bibliothèque, vous vous demandez si vous n'aurez jamais le temps de lire ne serait-ce que la moitié des livres qui y sont entreposés.;So wie Ihr durch die Korridore Eurer Bibliothek schlendert, fragt Ihr Euch, ob Ihr überhaupt die Zeit haben werdet, auch nur die Hälfte der Bücher die dort in den Regalen stehen, zu lesen.;;Al caminar por los pasillos de tu biblioteca, te preguntas si alguna vez tendras tiempo de leer siquiera la mitad de los libros almacenados allí.;;;;;;;;;x
use_library_much;There's always time for a good book!;Il y a toujours le temps pour un bon livre !;Es ist immer Zeit für ein gutes Buch.;;¡Siempre hay tiempo para un buen libro!.;;;;;;;;;x
use_library_some;When I get the chance, I will read something interesting.;Quand j'en aurai l'occasion, je lirai quelque chose d'intéressant.;Falls ich die Gelegenheit bekomme, werde ich etwas interessantes lesen.;;Cuando tenga la oportunidad, voy a leer algo interesante.;;;;;;;;;x
use_library_wrong;You there! Catch this! Hahaha!;Vous là ! Attrapez ceci ! Hahaha !;He, du da! Fang! Hahaha!;;¡Tú ahí!..¡Atrapa este!.. Jajaja.;;;;;;;;;x
throw_book_tooltip;You throw a book at the person in the library. ;Vous lancez un livre en direction de la personne dans la bibliothèque.;Ihr werft ein Buch nach der Person in der Bibliothek.;;Lanzas un libro a una persona en la biblioteca.;;;;;;;;;x
throw_book_tooltip_stupid;This option is available thanks to your... peculiar characteristics. You throw a book at someone in the library. ;Cette option est disponible grâce à vos... caractéristiques particulières. Vous lancez un livre à quelqu'un dans la bibliothèque.;Diese Option ist dank Eurer … eigentümlichen Eigenschaften verfügbar. Ihr werft ein Buch nach der Person in der Bibliothek. ;;Esta opción está disponible gracias a tus ... características peculiares. Lanzas un libro a alguien en la biblioteca.;;;;;;;;;x
use_study;Use your Study;Utiliser votre bureau personnel.;Studierzimmer nutzen;;Usar tu Officium Privatus.;;;;;;;;;x
study_usage;You take some time for yourself in the peace and quiet of your study.;Vous prenez un peu de temps pour travailler dans le calme et la tranquilité de votre bureau.;Ihr nehmt Euch etwas Zeit für Euch selbst, um in Ruhe und Frieden zu studieren.;;Te tomas un tiempo para ti en la paz y tranquilidad de tu Officium.;;;;;;;;;x
