honest_trusting_or_kind;You have this option because you are §YHonest§!, §YKind§! or §YTrusting§!. ;Cette option est disponible car vous possédez la caractéristique §YHonest§!, §YKind§! ou §YTrusting§!.;Ihr habt diese Option, da Ihr §YEhrlich§!, §YGütig§! oder §YTreuherzig§! seid. ;;Tienes esta opción porque eres §YHonesto§!, §YAmable§! o §YConfiado§!.;;;;;;;;;x
physics_fit_in_tunnels;You have this option because you are a §YHunchback§! or a §YDwarf§!. ;Cette option est disponible car vous possédez la caractéristique §YHunchback§! ou §YDwarf§!.;Ihr habt diese Option, da Ihr §YBuckelig§! Oder ein §YZwerg§! seid. ;;Tienes esta opción porque eres §YJorobado§! o un §Yenano§!.;;;;;;;;;x
secret_passages_physics;It's not that cramped in here. I should use these more often. ;Ce n'est pas aussi étroit ici. Je devrais les utiliser plus souvent.;Es ist gar nicht so eng hier. Ich sollte sie öfter benutzen.;;No esta tan apretado aquí. Debería utilizar estos más a menudo.;;;;;;;;;x
EVTDESCTRAYAR3;It has been a long and arduous endeavor, but your quest to become a great and deadly warrior has slowly rid you of your slothful tendencies! Time once spent idling in your chambers is now devoted to honing your skills in combat. ;Ce fut une tâche longue et difficile, mais votre désir de devenir un guerrier reconnu et craint vous a permi de vous affranchir de votre paresse. Le temps autrefois inexploité passé dans vos appartements est désormais dédié à l'amélioration de vos techniques de combat.;Es war ein langes und schwieriges Unterfangen, aber Euer Bestreben, ein mächtiger und tödlicher Krieger zu werden hat Euch langsam von Euren faulen Neigungen befreit! Die Zeit die Ihr einst nichtstuend in Euren Gemächern verbrachtet, ist nun der Verbesserung Eurer Kampftechniken gewidmet.;;Ha sido un largo y arduo esfuerzo, pero tu búsqueda para convertirte en un gran y mortal guerrero te ha librado poco a poco de tus tendencias perezosas.El tiempo que una vez pasaste en tus aposentos ahora lo dedicas a perfeccionar tus habilidades en combate.;;;;;;;;;x
ambition_removes_slothfulness;Nothing and no one can stand in my way. ;Rien ni personne ne peut m'arrêter.;Nichts und niemand kann mich aufhalten.;;Nada ni nadie puede interponerse en mi camino.;;;;;;;;;x
EVTDESCTRAYAR4;As you are sparring with a practice dummy, your mind wanders and you begin to picture the face of your enemy staring back at you. You strike out in rage and a single thrust of your sword drives the point straight through the dummy, cracking the wood and shattering it into pieces. ;Tandis que vous vous entraînez sur un mannequin d'exercice, le visage de votre ennemi s'impose à votre esprit et semble vous fixer. La fureur vous gagne et d'un seul coup d'épée, vous brisez le mannequin.;Sowie Ihr mit einer Übungspuppe sparrt, entgleitet Euer phantasievolles Gemüt und Ihr beginnt die Gestalt Eures Feindes, welcher tief in Eure Augen starrt, vor Euch zu sehen. Voller Zorn holt Ihr aus, um mit einem einzigen Streich Eures Schwertes die hölzerne Übungspuppe in zerberstende Stücke entzwei zu schmettern.;;A medida que combates con un maniquí de práctica, tu mente se distrae y te empiezas a imaginar la cara de tu enemigo que te mira fijamente. Te dejas llevar por la rabia y de un solo golpe de tu espada arrojas al muñeco al suelo , la madera se agrieta y se rompe en pedazos.;;;;;;;;;x
impaler_breaks_dummies;DIE, FILTH!;Meurs, ordure !;Verrecke, du Sohn einer Ratte!;;¡MUERE, perro!;;;;;;;;;x
impaler_or_cruel_trait;You have this option because you are §YCruel§! or an §YImpaler§!. ;Cette option est disponible car vous possédez la caractéristique §YCruel§! ou §YImpaler§!.;Ihr habt diese Option, da Ihr §YGrausam§! oder ein §YPfähler§! seid. ;;Tienes esta opción porque eres §YCruel§! o un §YEmpalador§!.;;;;;;;;;x
weak_decides_to_train_hard;What strength [Root.Religion.GetRandomGodName] has denied me I will seize for myself. ;Je me saisirai de la force qui m'a été refusée par [Root.Religion.GetRandomGodName].;Welch Stärke [Root.Religion.GetRandomGodName] mir auch verwehrt hat, ich werde sie aus eigener Kraft ergreifen.;;¿Qué fuerza me ha negado [Root.Religion.GetRandomGodName]? Voy a aprovecharla para mí.;;;;;;;;;x
EVTDESCTRAYAR5;My courtiers used to mock me for barely being to hold a shortsword, but now I could cleave a man in two with a single stroke, if I wished. Let those who laughed at my weakness now tremble at my strength! ;Mes courtisans se moquaient de ma difficulté à tenir une épée, mais je peux désormais fendre un homme en deux si je le souhaite. Que ceux qui riaient de ma faiblesse tremblent désromais devant ma force !;Meine Höflinge pflegten mich einst noch dafür zu verspotten, selbst ein Kurzschwert nur schwer halten zu können, aber nun könnte ich einen ausgewachsenen Mann mit nur einem Schlag entzwei spalten, wenn ich dies wollte. Mögen diejenigen, die über meiner Schwachheit lachten, nun vor meiner Kraft erzittern!;;Mis cortesanos no paran de burlarse de mí por ser apenas capaz de levantar una espada corta, pero ahora podrían escindir a un hombre en dos con un solo golpe, si me hubiera gustado. ¡Que los que se rieron de mi debilidad ahora tiemblen ante mi fuerza!.;;;;;;;;;x
weak_got_stronger;No man can ever dare to call me 'the Weak' any longer!;Désormais, personne n'osera me surnommer 'le faible'.;Niemand wird es mehr wagen mich 'der Schwache' zu nennen.;;Ningún hombre puede atreverse a llamarme 'el débil' por más tiempo!;;;;;;;;;x
