#BUILDINGS;;;;;
ca_medical_1;Herbalist's Quarters;Herboristerie;Quartier des Kräuterarztes;;Boticario;;;;;;;;;x
fp_medical_1;Herbalist's Quarters;Herboristerie;Quartier des Kräuterarztes;;Boticario;;;;;;;;;x
ca_medical_1_desc;A humble herbalist has taken up residence here. Though he has received little formal training, his knowledge of herbal cures are somewhat effective in dispelling minor illnesses. §YAllows the player to nominate an unlanded courtier of 12 learning or higher to serve as the Court Physician§! ;Un humble herboriste a élu domicile en ces lieux. Bien que sa formation ne fût pas régulière, ses connaissances des remèdes à base de plantes permettent de guérir les maladies bénignes. §YPermet de nommer un courtisan non titré avec une valeur de connaissance de 12 ou plus de servir en tant que médecin de la cour.§!;Ein bescheidener Kräuterkenner hat hier Wohnsitz genommen. Obwohl er keine formale Ausbildung erhalten hat, ist sein Wissen über pflanzliche Heilmittel durchaus wirkungsvoll darin, leichte Erkrankungen zu vertreiben. §YErlaubt es Euch, einen landlosen Höfling mit 12 Bildung oder höher zu Eurem Leibarzt zu ernennen§!;;Un humilde herbolario ha establecido su residencia aquí. A pesar de que ha recibido poca capacitación formal, su conocimiento de las curas a base de hierbas son algo eficaz para disipar enfermedades menores.  §YPermite otorgar el titulo de fisico de la corte a un cortesano de 12 o mas de aprendizaje§!;;;;;;;;;x
ca_medical_2;Castle Apotheca;Pharmacie du château;Burgapotheke;;Apotheca del castillo;;;;;;;;;x
fp_medical_2;Palace Apotheca;Pharmacie du palais;Palastapotheke;;Apotheca del palacio;;;;;;;;;x
ca_medical_2_desc;A small storehouse containing various herbs and minerals for use by the castle apothecary. §YAllows the player to nominate an unlanded courtier of 12 learning or higher to serve as the Court Physician§! ;Une réserve modeste contenant différents minéraux et herbes à la disponibilité de l'apothicaire du château. §YPermet de nommer un courtisan non titré avec une valeur de connaissance de 12 ou plus de servir en tant que médecin de la cour.§!;Ein kleines Lagerhaus mit verschiedenen Kräutern und Mineralien für die Verwendung durch den Burgapotheker. §YErlaubt dem Spieler, einen landlosen Höfling mit 12 Bildung oder höher zu Eurem Leibarzt zu ernennen§!;;Un pequeño almacén que contiene varias hierbas y minerales para su uso por el boticario castillo. §YPermite otorgar el titulo de fisico de la corte a un cortesano de 12 o mas de aprendizaje§!;;;;;;;;;x
fp_medical_2_desc;A small storehouse containing various herbs and minerals for use by the palace apothecary. §YAllows the player to nominate an unlanded courtier of 12 learning or higher to serve as the Court Physician§! ;Une réserve modeste contenant différents minéraux et herbes à la disponibilité de l'apothicaire du palais. §YPermet de nommer un courtisan non titré avec une valeur de connaissance de 12 ou plus de servir en tant que médecin de la cour.§!;Ein kleines Lagerhaus mit verschiedenen Kräutern und Mineralien für die Verwendung durch den Palastapotheker. §YErlaubt dem Spieler, einen landlosen Höfling mit 12 Bildung oder höher zu Eurem Leibarzt zu ernennen§!;;Un pequeño almacén que contiene varias hierbas y minerales para su uso por el boticario del palacio. §YPermite otorgar el titulo de fisico de la corte a un cortesano de 12 o mas de aprendizaje§!;;;;;;;;;x
ca_medical_3;Castle Infirmary;Infirmerie du château;Burgkrankenstube;;Enfermería del castillo;;;;;;;;;x
fp_medical_3;Palace Infirmary;Infirmerie du palais;Palastkrankenstube;;Enfermería del palacio;;;;;;;;;x
ca_medical_3_desc;The infirmary is staffed by the court physician and his assistants, who work tirelessly to ensure the health of the castle's inhabitants. §YAllows the player to nominate an unlanded courtier of 12 learning or higher to serve as the Court Physician§! ;Le médecin de la cour et ses assistants travaillent sans relâche à l'infirmerie pour assurer la santé des habitants du château. §YPermet de nommer un courtisan non titré avec une valeur de connaissance de 12 ou plus de servir en tant que médecin de la cour.§!;In der Krankenstube arbeiten Euer Leibarzt und seine Assistenten unermüdlich, um die Gesundheit der Bewohner der Burg sicherzustellen.;;La enfermería es atendida por el fisico de la corte y sus asistentes, que trabajan incansablemente para asegurar la salud de los habitantes del castillo. §YPermite otorgar el titulo de fisico de la corte a un cortesano de 12 o mas de aprendizaje§!;;;;;;;;;x
fp_medical_3_desc;The infirmary is staffed by the court physician and his assistants, who work tirelessly to ensure the health of the palace's inhabitants. §YAllows the player to nominate an unlanded courtier of 12 learning or higher to serve as the Court Physician§! ;Le médecin de la cour et ses assistants travaillent sans relâche à l'infirmerie pour assurer la santé des habitants du palais. §YPermet de nommer un courtisan non titré avec une valeur de connaissance de 12 ou plus de servir en tant que médecin de la cour.§!;In der Krankenstube arbeiten Euer Leibarzt und seine Assistenten unermüdlich, um die Gesundheit der Bewohner des Palastes sicherzustellen.;;La enfermería es atendida por el fisico de la corte y sus asistentes, que trabajan incansablemente para asegurar la salud de los habitantes del palacio. §YPermite otorgar el titulo de fisico de la corte a un cortesano de 12 o mas de aprendizaje§!;;;;;;;;;x
