improve_diplomatical_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar a un tutor.;;;;;;;;;x
improve_diplomatical_education_desc;Your inadequate education in the art of etiquette and decorum could be remedied if you could find someone willing to teach you.;Vous pourriez remédier à votre gaucherie dans l'art de l'étiquette et de la bienséance si vous pouviez trouver quelqu'un prêt à vous les enseigner.;Eurer unzureichenden Bildung in der Kunst der Hofsitte und Schicklichkeit könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch auszubilden.;;Tu falta de educación en el arte de la etiqueta y el decoro podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarte..;;;;;;;;;x
diplomatical_ed_improve_tooltip;My chancellor has volunteered to take me under his tutelage.;Mon chancelier s'est porté volontaire pour me prendre sous sa tutelle.;Mein Kanzler hat zugestimmt, mich zu unterrichten.;;Mi canciller se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
improve_intrigue_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar un tutor.;;;;;;;;;x
improve_intrigue_education_desc;Your obliviousness to the threats to your life could be remedied if you could find someone willing to teach you.;Vous connaissez mal les menaces qui pèsent sur votre vie et il serait judicieux de trouver quelqu'un qui pourrait vous enseigner l'art de l'intrigue.;Eurer Vergesslichkeit hinsichtlich der Gefahren des Lebens könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch auszubilden.;;Tu falta de atención a las amenazas a tu vida podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarte.;;;;;;;;;x
intrigue_ed_improve_tooltip;My spymaster has volunteered to take me under his tutelage.;Mon maître espion s'est proposé pour me prendre sous sa tutelle.;Mein Hofspitzel hat zugestimmt, mich zu unterrichten.;;Mi jefe de espías se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
improve_stewardship_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar un tutor.;;;;;;;;;x
improve_stewardship_education_desc;Your inadequate administrative education could be remedied if you could find someone willing to teach you.;Vos lacunes dans le domaine administratif pourraient être comblées si vous trouvez quelqu'un prêt à vous enseigner.;Eurer unzureichenden verwaltungstechnischen Bildung könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch auszubilden.;;Tu educación administrativa inadecuada podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarte.;;;;;;;;;x
stewardship_ed_improve_tooltip;My steward has volunteered to take me under his tutelage.;Mon intendant s'est porté volontaire pour me prendre sous sa tutelle.;Mein Kämmerer hat zugestimmt, mich zu unterrichten.;;Mi mayordomo se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
title_court_master_librarian;Master Librarian;Maître de la Librairie;Bibliothekar;;Bibliotecario Maestro.;;;;;;;;;x
title_court_master_gardener;Master Gardener;Maître Jardinier;Gärtnermeister;;Jardinero Maestro.;;;;;;;;;x
title_court_master_librarian_desc;The Master Librarian is the curator and caretaker of the castle's vast collection of scrolls and tomes. §YAllows the player to nominate a courtier with the Scholar trait to serve as the Master Librarian.§! ;Le Maître de la Librairie est le conservateur et le gardien de la vaste collection de rouleaux et de tomes du château. §YPermet au joueur de nommer un courtisan avec le trait Érudit pour servir en tant que Maître de la Librarie.§!;Der Bibliothekar ist der Wärter und Verwalter der gewaltigen Sammlung von Schriftrollen und Foliantes der Burg.  §YErlaubt es dem Spieler, einen Höfling mit der Eigenschaft Gelehrter zum Bibliothekar zu ernennen.§! ;;El Bibliotecario Maestro es el curador y cuidador de la vasta colección de pergaminos y tomos del castillo. §YPermite designar a un cortesano con el rasgo erudito para servir como el Bibliotecario Maestro.§!;;;;;;;;;x
title_court_master_gardener_desc;The Master Gardener is the caretaker of the castle gardens. It is rumored that he can make plants sprout just by touching them. §YAllows the player to nominate a courtier with the Gardener trait to serve as the Master Gardener.§!;Le Maître Jardinier est le gardien des jardins du châteaux. On dit qu'il peut faire pousser les plantes rien qu'en les touchant. §YPermet au joueur de nommer un courtisan avec le trait de Jardinier pour servir en tant que Maître Jardinier.§!;Der Gärtnermeister ist der Verwalter des Burggartens. Es wird gemunkelt, dass er die Pflanzen nur berühren muss, damit sie emporsprießen. §YErlaubt es dem Spieler, einen Höfling mit der Eigenschaft Gärtner zum Gärtnermeister zu ernennen.§! ;;El Jardinero Maestro es el cuidador de los jardines del castillo. Se rumorea que él puede hacer que las plantas broten con sólo tocarlas. §YTe permite designar a un cortesano con el rasgo Jardinero para servir como el Jardinero Maestro.§!;;;;;;;;;x
