#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
robmod_create_norse_monks;Establish the Beyð monastic orders;Établir les commandes monastiques Beyð;Stellen Sie die Beyð Klosterorden fest;;Establecer las órdenes monásticas Beyð;;;;;x
robmod_create_norse_monks_desc;Taking inspiration from the followers of the White Christ, the Oðinshrafn can take control of the newly formed Beyð monastic orders. Men may become Eiðmenn ("Oathsmen", powerful ascetic warrior monks) whereas women may join the 'Sisters of Frigg' (Friggjarsnipt), an order of celibate sorceresses and soothsayers. In common with a Christian ruler you will be able to order courtiers to join a monastic order, and a new society will appear.;S'inspirant des disciples du Christ blanc, l'Oðinshrafn peut établir un ordre monastique. Les hommes peuvent devenir Eiðmenn («hommes assermentés», puissants moines guerriers ascétiques) alors que les femmes peuvent rejoindre les «Soeurs de Frigg» (Friggjarsnipta), un ordre de sorcières célibataires et devinettes. En commun avec un dirigeant chrétien, vous pourrez ordonner aux courtisans de vous joindre à un ordre monastique, et de nouvelles sociétés et des ordres saints peuvent apparaître;Inspiriert von den Anhängern des Weißen Christus, kann die Oðinshrafn eine Klosterordnung begründen. Männer können Eiðmenn werden ("Eidmänner", mächtige asketische Kriegermönche), während Frauen den "Schwestern von Frigg" (Friggjarsnipta) beitreten können, eine Ordnung von Zölibat-Zauberern und Wahrsagern. Gemeinsam mit einem christlichen Herrscher werden Sie in der Lage sein, die Höflinge in eine Klosterordnung zu begeben, und es können neue Gesellschaften und heilige Befehle erscheinen;;Tomando inspiración de los seguidores del Cristo Blanco, los Oðinshrafn pueden establecer un orden monástico. Los hombres pueden llegar a ser Eiðmenn ("Juramentadores", poderosos monjes guerreros ascéticos) mientras que las mujeres pueden unirse a las "Hermanas de Frigg" (Friggjarsnipta), una orden de celibato hechiceras y adivinos. Al igual que un gobernante cristiano, usted podrá ordenar a los cortesanos que se unan a una orden monástica, y pueden aparecer nuevas sociedades y órdenes sagradas;;;;;x
ROBMODNORSE_MONKS_TT;Give the order to bring the new monastic orders under the purview of the Oðinnhrafn. The Order of the Vanir society will also be formed.;Donnez l'ordre de porter les nouvelles commandes monastiques dans le cadre de l'Oðinnhrafn. L'Ordre de la société Vanir sera également formé.;Geben Sie den Befehl, um die neuen Klosterorden unter die Zuständigkeit der Oðinnhrafn zu bringen. Der Orden der Vanir-Gesellschaft wird auch gebildet.;;Dar la orden de traer las nuevas órdenes monásticas bajo el alcance de los Oðinnhrafn. También se formará la Orden de la sociedad Vanir.;;;;;x
robmod_norse_raise_oathsmen;Raise the Oathsmen;Relever les hommes assermentés;Hebt die Eidmänner an;;Levante a los Juramentadores;;;;;x
robmod_norse_raise_oathsmen_desc;When in a defensive war against followers of the lesser Gods, the Oðinshrafn can raise the Oathsmen (warrior monks) at a cost of piety, but with free maintenance. They will stand down once the war is over, and you can only do this once every five years - so ensure you pick your war wisely!;Quand, dans une guerre défensive contre les adeptes des dieux mineurs, l'Oðinshrafn peut élever les hommes assermentés (moines guerriers) au prix de la piété, mais avec un entretien gratuit. Ils se retireront une fois la guerre terminée, et vous ne pouvez le faire qu'une fois tous les cinq ans, alors assurez-vous de bien choisir votre guerre!;Wenn in einem Verteidigungskrieg gegen die Anhänger der kleineren Götter die Oðinshrafn die Eidmänner (Kriegermönche) auf Kosten der Frömmigkeit erziehen können, aber mit freier Erhaltung. Sie werden sich abhalten, sobald der Krieg vorbei ist, und das kannst du nur einmal alle fünf Jahre tun - damit wirst du den Krieg weise wählen!;;Cuando en una guerra defensiva contra los seguidores de los dioses menores, los Oðinshrafn pueden elevar a los juramentadores (monjes guerreros) a un costo de piedad, pero con mantenimiento gratuito. Se van a detener una vez que la guerra ha terminado, y sólo se puede hacer esto una vez cada cinco años - así que asegúrese de elegir su guerra sabiamente!;;;;;x
robmod_norse_raise_oathsmen_tooltip;Must be in a defensive war against a non-Beyð character;Doit être dans une guerre défensive contre un personnage non-Beyð;Muss in einem Verteidigungskrieg gegen einen Nicht-Beyð-Charakter sein;;Debe estar en una guerra defensiva contra un personaje que no sea Beyð;;;;;x
robmod_norse_raise_oathsmen_tooltip_2;Must NOT have raised the Oathsmen in the last 5 years;N'ONT PAS pris cette décision au cours des 5 dernières années;Muss NICHT diese Entscheidung in den letzten 5 Jahren getroffen haben;;No debe haber tomado esta decisión en los últimos 5 años;;;;;x
robmod_norse_summon_defensive_unit;An army of brave Oathsmen arrive in your capital, free of maintenance. Their number will depend on your piety;Une armée de hommes assermentés braves arrive dans votre capitale, sans entretien. Leur nombre dépendra de votre piété;Eine Armee tapferer Eidmänner kommt in deiner Hauptstadt, wartungsfrei. Ihre Zahl hängt von Ihrer Frömmigkeit ab;;Un ejército de valientes juramentados llega a su capital, libre de mantenimiento. Su número dependerá de tu piedad;;;;;x
robmod_norse_choose_pantheon;Choose your pantheon of Gods;Choisissez votre panthéon de dieux;Wähle dein Pantheon der Götter;;Elige tu panteón de dioses;;;;;x
robmod_norse_choose_pantheon_desc;The Norse faith has two main pantheons of Gods - the Æsir and the Vanir. Long ago, they fought a war in which the Vanir were subjugated, but both are still revered for different reasons. Building a personal shrine to one of the two pantheons will tell your people and the world at large much about the kind of ruler you want to be.;La foi Nordique a deux panthéons principaux de dieux - l'Æsir et le Vanir. Il y a longtemps, ils ont combattu une guerre dans laquelle les Vanir ont été subjugués, mais les deux sont encore vénérés pour différentes raisons. Construire un sanctuaire personnel à l'un des deux panthéons informera grandement votre population et le monde sur le genre de règle que vous voulez être.;Der Nordische Glaube hat zwei Hauptpantheonen der Götter - die Æsir und die Vanir. Vor langer Zeit kämpften sie einen Krieg, in dem die Vanir unterjocht wurden, aber beide werden aus verschiedenen Gründen noch verehrt. Einen persönlichen Schrein zu einem der beiden Pantheons zu bauen, erzählt deinen Leuten und der Welt viel über die Art des Herrschers, das du sein möchtest.;;La fe nórdica tiene dos panteones principales de dioses - el Æsir y el Vanir. Hace mucho tiempo, lucharon en una guerra en la que los Vanir fueron subyugados, pero ambos son venerados por diferentes razones. La construcción de un santuario personal a uno de los dos panteones le dirá a su gente y al mundo en general mucho sobre el tipo de gobernante que desea ser.;;;;;x
robmod_choose_pantheon_tt;An event chain will fire allowing you to choose your pantheon and explaining the various benefits;Une chaîne d'événements déclenchera, vous permettant de choisir votre panthéon;Eine Eventkette wird Feuer, so dass Sie Ihr Pantheon wählen können;;Se encenderá una cadena de eventos que le permitirá elegir su panteón;;;;;x
