#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00041_BEYD;[Root.GetTitledName], the new great leader of the Norse faith, in consultation with the Goðis and in communion with the Allfather himself, has decreed the Guðalog (Godslaws), and published our new Holy Book. Written in ancient runes, this most glorious tome has chapters on Creation, the Gods, Ragnarok, and the eponymous Godslaws govering Miðgarðr, the realm of men.\n\nA standardised liturgy and a formal church hierarchy has also been established, led by [Root.GetHerHis] Mightiness [Root.GetTitledName], who commands all good Norsemen and women to follow the new laws and to obey the Goðis in all spiritual matters.;[Root.GetTitledName], le nouveau grand chef de la foi nordique, en consultation avec les Goðis et en communion avec l'Allfather lui-même, a décrété le Guðalog (lois des dieux) et publié notre nouveau livre sacré. Écrit dans les runes anciennes, ce tome le plus glorieux a des chapitres sur la Création, les dieux, Ragnarok et les lois des dieux éponymes qui gouvernent Miðgarðr, le royaume des hommes. Une liturgie normalisée et une hiérarchie formelle de l'église ont également été établies, menées par [Root.GetTitledName], qui commande tous les bons hommes et femmes nordiques de suivre les nouvelles lois et d'obéir aux Goðis dans toutes les questions spirituelles.;[Root.GetTitledName], der neue große Führer des nordischen Glaubens, in Absprache mit den Goðis und in Gemeinschaft mit dem Allfather selbst, hat die Guðalog (Göttergesetze) verordnet und unser neues Heiliges Buch veröffentlicht. In den alten Runen geschrieben, hat dieses herrlichste Tome Kapitel über die Schöpfung, die Götter, Ragnarok und die gleichnamigen Göttergesetze, die Miðgarðr, das Reich der Menschen, Eine standardisierte Liturgie und eine formale kirchliche Hierarchie wurde auch von [Root.GetTitledName] geführt, der alle guten nordischen Männer und Frauen befiehlt, den neuen Gesetzen zu folgen und die Goðis in allen spirituellen Dingen zu befolgen.;;[Root.GetTitledName], el nuevo gran líder de la fe nórdica, en consulta con el Goðis y en comunión con el Allfather mismo, ha decretado el Guðalog (leyes de dioses), y ha publicado nuestro nuevo libro santo. Escrito en runas antiguas, este tomo más glorioso tiene capítulos sobre la Creación, los dioses, Ragnarok y las leyes homónimas de los dioses que gobiernan Miðgarðr, el reino de los hombres. También se ha establecido una liturgia estandarizada y una jerarquía formal de la iglesia, dirigida por [Root.GetTitledName], que manda a todos los buenos hombres y mujeres nórdicos seguir las nuevas leyes y obedecer a los Goðis en todos los asuntos espirituales.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00041_OLD;The tyranny of the so-called Oðinshrafn knows no bounds. [Root.GetSheHeCap] has published a new Holy Book, the Guðalog (Godslaws), supposedly in communion with the Allfather (as if the High One would deign to speak to [Root.GetHerHim]). It offers an interpretation of Creation, the Gods, and Ragnarok, and the eponymous Godslaws, all of which serve simply to legitimise [Root.GetFirstName]’s false position of power. Every true Norseman knows that we need no laws from the Gods to govern us, and we certainly don’t need a spiritual leader!;La tyrannie du soi-disant Oðinshrafn ne connaît pas de limites. [Root.GetSheHeCap] a publié un nouveau livre sacré, le Guðalog (lois des dieux), supposément en communion avec l'Alfaðir (comme si le Haut Désignait de parler à [Root.GetHerHim]). Il offre une interprétation de la Création, des dieux et de Ragnarok, et des lois des dieux éponymes, qui servent simplement à légitimer la fausse position du pouvoir [Root.GetFirstName]. Tout vrai homme nordique sait que nous n'avons pas besoin de lois des Dieux pour nous gouverner, et nous n'avons certainement pas besoin d'un chef spirituel!;Die Tyrannei des sogenannten Oðinshrafn kennt keine Grenzen. [Root.GetSheHeCap] hat ein neues Heiliges Buch, das Guðalog (Göttergesetze) veröffentlicht, angeblich in Gemeinschaft mit dem Alfaðir (als ob der Hohe würde es wagen, mit [Root.GetHerHim] zu sprechen). Es bietet eine Interpretation der Schöpfung, der Götter und Ragnaroks und der gleichnamigen Gesetze der Götter, die alle dazu dienen, die falsche Machtposition von [Root.GetFirstName] zu legitimieren. Jeder echte nordische Mann weiß, dass wir keine Gesetze von den Göttern brauchen, um uns zu regieren, und wir brauchen sicher keinen spirituellen Führer!;;La tiranía de los llamados Oðinshrafn no conoce límites. [Root.GetSheHeCap] ha publicado un nuevo Libro Sagrado, el Guðalog (las leyes de los dioses), supuestamente en comunión con el Alfaðir (como si el Alto se dignara hablar a [Root.GetHerHim]). Ofrece una interpretación de la Creación, los Dioses y Ragnarok, y las leyes de los dioses del mismo nombre, las cuales sirven simplemente para legitimar la falsa posición de poder de [Root.GetFirstName]. Todo verdadero hombre nórdico sabe que no necesitamos leyes de los dioses para gobernarnos, y ciertamente no necesitamos un líder espiritual.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00041_INFIDEL;The new leader of the Norse infidels [Root.GetTitledName] has published a Holy Book, the so-called Guðalog (Godslaws), as well as a standardised liturgy and a formal church hierarchy. It seems the reformation in those cold lands continues apace, and the new religious fervour is solidifying into an organised and powerful faith. Dark news indeed, but the [This.Religion.GetPriestTitle]s assure all good [This.Religion.GetName] men that [This.Religion.GetHighGodName]’s power will overcome the heathen zealots.;Le nouveau chef des infidèles nordiques [Root.GetTitledName] a publié un livre sacré, le soi-disant Guðalog (lois des dieux), ainsi qu'une liturgie normalisée et une hiérarchie formelle de l'église. Il semble que la réforme dans ces pays froids se poursuive, et la nouvelle ferveur religieuse se solidifie dans une foi organisée et puissante. Les nouvelles sombres, en effet, mais [This.Religion.GetPriestTitle] s garantissent à tous les hommes [This.Religion.GetName] les hommes qui [Root.Religion.GetHighGodName] vont surmonter les fanatiques païens.;Der neue Führer der nordischen Ungläubigen [Root.GetTitledName] hat ein heiliges Buch, die sogenannten Guðalog (Göttergesetze), sowie eine standardisierte Liturgie und eine formale kirchliche Hierarchie veröffentlicht. Es scheint, dass die Reformation in diesen kalten Ländern fortschreitet, und die neue religiöse Leidenschaft verfestigt sich zu einem organisierten und mächtigen Glauben. Dunkle Nachrichten in der Tat, aber die [Root.Religion.GetPriestTitle] s versichern alle guten [This.Religion.GetName] Männer, die [Root.Religion.GetHighGodName] 's Macht wird die heidnischen Eiferer überwinden.;;El nuevo líder de los infieles nórdicos [Root.GetTitledName] ha publicado un Libro Sagrado, el llamado Guðalog (las leyes de los dioses), así como una liturgia estandarizada y una jerarquía de la iglesia formal. Parece que la reforma en esas frías tierras continúa con rapidez, y el nuevo fervor religioso se está consolidando en una fe organizada y poderosa. Las noticias oscuras ciertamente, pero los [This.Religion.GetPriestTitle] s aseguran a todos los buenos [This.Religion.GetName] que el poder de [This.Religion.GetHighGodName] superará a los fanáticos paganos.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00041_BEYD;Glory to the Oðinshrafn!;Gloire à l'Oðinshrafn!;Ruhm an die Oðinshrafn!;;¡Gloria al Oðinshrafn!;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODNORSE_00041_OLD;[This.Religion.GetRandomEvilGodNameCap] curse this ‘Oðinshrafn’!;[This.Religion.GetRandomEvilGodNameCap] maudit ce 'Oðinshrafn'!;[This.Religion.GetRandomEvilGodNameCap] Fluch dieses 'Oðinshrafn'!;;[This.Religion.GetRandomEvilGodNameCap] maldición este 'Oðinshrafn'!;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODNORSE_00041_INFIDEL;[This.Religion.GetRandomGodNameCap] protect us from the Vikings!;[This.Religion.GetRandomGodNameCap] nous protège des Vikings!;[This.Religion.GetRandomGodNameCap] beschütze uns vor den Wikinger!;;[This.Religion.GetRandomGodNameCap] nos protegen de los vikingos!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00042;In a grand ceremony in [Root.Capital.GetName], your official coronation as Oðinshrafn is about to begin. The assemblage cheers as your [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] places a newly forged and impressive Raven’s Crown upon your head. You are announced as the Hrafnfyrstr (First Raven), and a hundred sows are sacrificed to bless your new title, with the meat shared with all present. This epithet will be remembered forevermore, and all your progeny shall live in the glory of your great and pious deeds.;Dans une grande cérémonie dans [Root.Capital.GetName], votre couronnement officiel comme Oðinshrafn est sur le point de commencer. L'assemblage répond comme votre [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] place une nouvelle Forged and impressive Raven's Crown sur votre tête. Vous êtes annoncé comme le Hrafnfyrstr (First Raven), et une centaine de truies sont sacrifiées pour bénir votre nouveau titre, avec la viande partagée avec tous les présents. Cette épithète sera rappelée pour toujours, et toute votre progéniture vivra dans la gloire de vos grands et pieux actes.;In einer großen Zeremonie in [Root.Capital.GetName], ist Ihre offizielle Krönung als Oðinshrafn zu beginnen. Die Assemblage Jubel als Ihr [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stellt eine neu geschmiedete und beeindruckende Rabenkrone auf den Kopf. Sie werden als Hrafnfyrstr (erster Rabe) angekündigt, und hundert Sauen werden geopfert, um Ihren neuen Titel zu segnen, mit dem Fleisch, das mit allen Anwesenden geteilt wird. Dieser Beiname wird für immer in Erinnerung bleiben, und alle deine Nachkommen sollen in der Herrlichkeit deiner großen und frommen Taten leben.;;En una gran ceremonia en [Root.Capital.GetName], su coronación oficial como Oðinshrafn está a punto de comenzar. El ensamblaje anima cuando su [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] coloca una Corona de Raven recientemente forjada e impresionante sobre su cabeza. Se anuncia como el Hrafnfyrstr (Primer Cuervo), y se sacrifican cien cerdas para bendecir tu nuevo título, con la carne compartida con todos los presentes. Este epíteto será recordado para siempre, y toda tu progenie vivirá en la gloria de tus grandes y piadosos hechos.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00042;The Alfaðir smiles on me today.;L'Alfaðir me sourit aujourd'hui.;Der Alfaðir lächelt mich heute an.;;El Alfaðir me sonríe hoy.;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00042;I should keep the memory of my past alive, too.;Je devrais garder le souvenir de mon passé en vie aussi.;Ich sollte die Erinnerung an meine Vergangenheit auch am Leben halten.;;Debería mantener vivo el recuerdo de mi pasado.;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPB_ROBMODNORSE_00042;You can keep your current nickname instead of taking the new one, if you wish;Vous pouvez garder votre pseudo actuel au lieu de prendre le nouveau, si vous le souhaitez;Du kannst deinen aktuellen Spitznamen behalten, anstatt den neuen zu nehmen, wenn du es wünschst;;Puedes guardar tu apodo actual en lugar de tomar el nuevo, si lo deseas;;;;;;;;;x,,,,,,,,,,
