#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,,,
# TRAITS #;;;;;;;;;x,,,,,,,,,,,,
robmodnorse_oathseeker;Eiðsœkja;Eiðsœkja;Eiðsœkja;;Eiðsœkja;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_oathseeker_desc;'Oathseekers' take the Þorfreista (Trials of Thor) in preparation for becoming an Eiðmaðr (Oathsman). A gruelling undertaking, the aspirant learns both martial skill and spiritual devotion, both of which have their dangers. A trial generally takes around two years to complete, after which the aspirant returns to his clan, either as a full Oathsman – or branded Þor-Ómakligr (Unworthy of Thor).;Les demandeurs de serment prennent le Þorfreista (Essais de Thor) en préparation pour devenir un Eiðmaðr (hommes assermentés). Une entreprise éprouvante, l'aspirant apprend à la fois la compétence martiale et la dévotion spirituelle, qui ont tous deux leurs dangers. Un procès nécessite généralement environ deux ans pour terminer, après quoi l'aspirant retourne à son clan, soit comme un Oathsman complet - ou marque Þor-Ómakligr (Indépendant de Thor).;Eidensuchende nehmen die Þorfreista (Versuche von Thor) in Vorbereitung für ein Eiðmaðr (Eidmann). Ein anstrengendes Unternehmen, der Aspirant lernt sowohl kriegerische Geschicklichkeit als auch spirituelle Hingabe, die beide ihre Gefahren haben. Ein Prozeß dauert in der Regel etwa zwei Jahre, um zu vervollständigen, worauf der Aspirant zu seinem Clan zurückkehrt, entweder als voller Oathsman - oder gebrandet Þor-Ómakligr (unwürdig von Thor).;;Los solicitantes de juramento toman el Þorfreista (Ensayos de Thor) en preparación para convertirse en un Eiðmaðr (juramento hombre). Una empresa agotadora, el aspirante aprende habilidad marcial y devoción espiritual, que tienen sus peligros. Un juicio tarda generalmente cerca de dos años en completarse, después de que el aspirante vuelve a su clan, ya sea como un Oathsman lleno - o Þor-Marca de marca-Ómakligr (indigno de Thor).;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_oathseeker_death;taking the Trials of Thor;prenant les essais de Thor;die Versuche von Thor;;tomando los ensayos de Thor;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_friggseeker;Friggjarsœkja;Friggjarsœkja;Friggjarsœkja;;Friggjarsœkja;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_friggseeker_desc;Frigg is the Goddess wife to Odin, and ‘Friggseekers’ learn the arts of medicine, soothsaying, and sorcery in preparation for being anointed a Friggjarsnipt (‘Sister of Frigg’). The training takes around two years, after which the anointed Sister returns to her clan to care for the faithful, provide counsel to the leaders, and record their Sagas.;Frigg est la femme déesse d'Odin, et les chercheurs de Frigg apprennent les arts de la médecine, le repos et la sorcellerie en prévision de l'otage d'un Friggjarsnipt («Soeur de Frigg»). La formation dure environ deux ans, après quoi la sœur oint retourne à son clan pour s'occuper des fidèles, conseille les leaders et enregistre leurs Sagas.;Frigg ist die Göttin-Frau nach Odin, und Frigg-Sucher lernen die Künste der Medizin, die Wahrsagerei und die Zauberei in Vorbereitung für die Gesalbte eine Friggjarsnipt ("Schwester von Frigg"). Die Ausbildung dauert etwa zwei Jahre, danach kehrt die gesalbte Schwester zu ihrem Clan zurück, um sich für die Gläubigen zu sorgen, den Führern Rat zu geben und ihre Sagas aufzuzeichnen.;;Frigg es la esposa de la Diosa de Odín, y los buscadores de Frigg aprenden las artes de la medicina, la adivinación y la brujería en preparación para ser ungidos por una Friggjarsnipt ("Hermana de Frigg"). El entrenamiento dura alrededor de dos años, después de lo cual la hermana ungida regresa a su clan para cuidar a los fieles, proporcionar consejo a los líderes y registrar sus Sagas.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_unworthy;Þor-Ómakligr;Þor-Ómakligr;Þor-Ómakligr;;Þor-Ómakligr;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_unworthy_desc;This character is ‘Unworthy of Thor’, having been unsuccessful in the Þorfreista (Trials of Thor) and failed at becoming an Oathsman. He lives out his days branded with disgrace.;Ce personnage est «Indigne de Thor», ayant échoué dans le Þorfreista (Essais de Thor) et échoué à devenir un homme assermenté. Il vit ses jours marqués de disgrâce.;Dieser Charakter ist "Unwürdig von Thor", nachdem er in der Þorfreista (Versuche von Thor) nicht erfolgreich war und es versäumt hat, ein Eidmann zu werden. Er lebt aus seinen Tagen mit Schande.;;Este personaje es "Indigno de Thor", habiendo sido infructuoso en el Þorfreista (Trials of Thor) y falló en convertirse en un hombre de juramentos. Vive sus días marcados con desgracia.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_oathsman;Eiðmaðr;Eiðmaðr;Eiðmaðr;;Eiðmaðr;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_oathsman_desc;An Oathsman is a warrior monk who has taken a sacred vow to put aside earthly concerns and protect the faithful. Celibate and ascetic, an aspirant must pass the Þorfreista (Trials of Thor) and prove himself a valiant warrior. The final trial is Óðinnsfreist (Odin’s trial), wherein the aspirant must remove his own eye as Odin did in search of wisdom. In peacetime, Oathsmen perform more prosaic duties such as tending monastic lands, guiding pilgrims, and guarding local shrines.;Un homme assermenté est un moine guerrier qui a promis sacré de mettre de côté les préoccupations terrestres et de protéger Miðgarðr, le quatrième des neuf mondes des dieux et le monde des hommes. Celibate et ascétique, un aspirant doit passer le Þorfreista (essais de Thor) et se révéler un vaillant guerrier. Le procès final est Óðinnfreista (essai d'Odin), où l'aspirant doit enlever son œil comme Odin l'a fait en quête de sagesse. En temps de paix, les Oathsmen exercent des tâches plus prosaïques, telles que le soin des terres monastiques, le guidage des pèlerins et la garde des sanctuaires locaux.;Ein Eidmann ist ein Kriegermönch, der ein heiliges Gelübde genommen hat, um irdische Sorgen zu beiseite legen und Miðgarðr zu schützen, die vierte der neun Heimatwelt der Götter und das Reich der Menschen. Zölibat und Asket, ein Aspirant muss die Þorfreista (Versuche von Thor) passieren und sich als tapferer Krieger bezeichnen. Der letzte Prozeß ist Óðinnfreista (Odins Versuch), wobei der Aspirant sein eigenes Auge entfernen muß, wie Odin auf der Suche nach Weisheit war. In der Friedenszeit führen die Oathsmen mehr prosaische Pflichten wie das Treiben von Klosterlandschaften, die Führung von Pilgern und die Bewachung lokaler Schreine.;Un hombre de juramento es un monje guerrero que ha tomado un voto sagrado para dejar de lado las preocupaciones terrenales y proteger Miðgarðr, el cuarto de los nueve mundos de los Dioses y el reino de los hombres. Celibato y ascético, un aspirante debe pasar el Þorfreista (pruebas de Thor) y demostrar que es un guerrero valiente. El juicio final es Óðinnfreista (juicio de Odin), en el que el aspirante debe quitar su propio ojo como lo hizo Odín en busca de sabiduría. En tiempo de paz, los juramentados desempeñan tareas más prosaicas, tales como atender las tierras monásticas, guiar a los peregrinos y custodiar los santuarios locales.;;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_friggsister;Friggjarsnipt;Friggjarsnipt;Frigjarsnipt;;Friggjarsnipt;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_friggsister_desc;The ‘Sisters of Frigg’ (the Goddess wife of Odin) put aside earthly concerns and devote their lives to serving the Goðis, treating wounded warriors, and maintaining shrines. As the Goddess wife of Oðinn, Frigg is associated with foreknowledge and wisdom, and the Sisters strive for knowledge of both the temporal and spiritual realm. Most are learned in seiðr (sorcery), are respected herbalists and soothsayers, and all learn to write to record the sagas of their clan. Alongside other duties, they are expected to treat the sick, care for the elderly, and perform midwifery for the faithful. They can be considered the Beyð equivalent of a nun.;Les «Sœurs de Frigg» (la femme déesse d'Odin) ont mis de côté les préoccupations terrestres et consacrent leur vie à servir les Goðis, à traiter les guerriers blessés et à maintenir les sanctuaires. En tant que femme déesse de Oðinn, Frigg est associé à la prescience et à la sagesse, et les Sœurs s'efforcent de connaître le royaume temporel et spirituel. La plupart sont appris dans seiðr (sorcellerie), sont respectés les herboristes et les adeptes, et tous apprennent à écrire pour enregistrer les sagas de leur clan. Parallèlement à d'autres tâches, on s'attend à ce qu'ils traitent les malades, soignent les personnes âgées et procèdent à la sage-femme pour les fidèles. Ils peuvent être considérés comme l'équivalent Beyð d'une religieuse.;Die "Schwestern von Frigg" (die Göttin-Frau von Odin) beiseite irdische Sorgen und widmen ihr Leben dem Dienst der Goðis, die Behandlung von verwundeten Kriegern und die Aufrechterhaltung der Schreine. Als die Göttinfrau von Oðinn ist Frigg mit Vorwissen und Weisheit verbunden, und die Schwestern streben nach Erkenntnis sowohl des zeitlichen als auch des geistigen Reiches. Die meisten sind in seiðr (Zauberei) gelernt, sind angesehene Kräuterkundige und Wahrsager, und alle lernen zu schreiben, um die Sagen ihres Clans aufzuzeichnen. Neben anderen Pflichten werden sie erwartet, die Kranken zu behandeln, sich um ältere Menschen zu kümmern und die Hebammen für die Gläubigen auszuführen. Sie können als das Beyð-Äquivalent einer Nonne betrachtet werden.;;Las "Hermanas de Frigg" (la diosa esposa de Odín) dejaron de lado las preocupaciones terrenales y dedicaron sus vidas a servir a los Goðis, tratando a guerreros heridos y manteniendo santuarios. Como la diosa esposa de Oðinn, Frigg se asocia con la presciencia y la sabiduría, y las hermanas se esfuerzan por el conocimiento del reino temporal y espiritual. La mayoría son aprendidas en seiðr (hechicería), son respetados herbolarios y adivinos, y todos aprenden a escribir para grabar las sagas de su clan. Junto con otros deberes, se espera que traten a los enfermos, cuiden a los ancianos, y realicen la partería para los fieles. Pueden ser considerados el equivalente Beyð de una monja.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_firstraven;Hrafnfyrstr;Hrafnfyrstr;Hrafnfyrstr;;Hrafnfyrstr;;;;;;;;;x;,,,,,,,,,,,,
