#CODE;ENGLISH;;;;;;;;;;;;;x
EVTTITLEsoulmatesFMarriage;Lover Proposes Marriage;;;;;;;;;;;;;x
EVTDESCsoulmates.1000;It has been some time since you have fallen in love with your lover. You can think of nothing better than to be embraced by her, laying comfortably in her arms, breathing in her sweet scent. A thought crosses your mind: why not make her your wife, and therefore yours till death do you part?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1000;Yes. Who cares about what others think?;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1000;You propose to your lover. If she accepts, you will be married. However, such an act may be viewed as unnatural by others...;;;;;;;;;;;;;x
EVTOPTBsoulmates.1000;No. Now is not the time. We wouldn't be safe.;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1000;You remain only lovers.;;;;;;;;;;;;;x
EVTDESCsoulmates.1001;You walk into your room in the evening to discover a perfumed letter sitting on your bed. As you open it, you can hardly believe your eyes. Your lover, [From.GetFullName], has suggested that the two of you be married! Your heart beats faster at the idea, but in your mind you know that accepting would put both of you in danger from the less open-minded...;;;;;;;;;;;;;x
EVTOPTAsoulmates.1001;What do the others know of how we feel for each other? It is time we showed our love openly!;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1001;You accept the offer. This will potentially offend numerous people!;;;;;;;;;;;;;x
EVTOPTBsoulmates.1001;No, not yet. The risk is too great.;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1001;You remain only lovers. Your lover likely would be disappointed...;;;;;;;;;;;;;x
EVTDESCsoulmates.1002;Your lover has accepted your offer! While you are unlikely to find a priest willing to officiate your marriage, do you really need their approval to be married?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1002;Together at last. Now, and forever, till death do us part.;;;;;;;;;;;;;x
EVTDESCsoulmates.1003;Your lover has rejected your offer, perhaps out of caution. Your pride takes quite a blow, but perhaps she is right that this is not the time?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1003;Perhaps now is not the time...or does she truly love me still?;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1003;You accept her refusal.;;;;;;;;;;;;;x
EVTTITLEsoulmatesFChild;Wife wants Children;;;;;;;;;;;;;x
EVTDESCsoulmates.1004;You and your wife have agreed to have another child. The question that remains now is, how should you approach this problem?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1004;Perhaps with the aid of alchemy...?;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1004;You use the aid of a potion in your treasury.;;;;;;;;;;;;;x
EVTOPTBsoulmates.1004;[Root.Religion.GetHighGodName] won't help us, but I think of [Root.Religion.GetRandomEvilGodName]...;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1004;You have little fear of the unholy. A few sacrifices have to be made to get what you want, after all...;;;;;;;;;;;;;x
EVTOPTCsoulmates.1004;Perhaps a trustworthy courtier could assist us?;;;;;;;;;;;;;x
EVTOPTCTTsoulmates.1004;You look over your male courtiers for someone that could assist you...;;;;;;;;;;;;;x
EVTOPTDsoulmates.1004;Perhaps now is not the time.;;;;;;;;;;;;;x
EVTOPTDTTsoulmates.1004;You change your mind and decide against having a child.;;;;;;;;;;;;;x
EVTDESCsoulmates.1005;You have a potion in your treasury that you believe should help. The bottle remains sealed in your hand, ready to be used, and your wife looks on expectantly.;;;;;;;;;;;;;x
EVTOPTAsoulmates.1005;This potion looks like...tar and privy sludge, and smells little better. Should she really drink this...?;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1005;The potion seems unsafe to drink. Perhaps it is best to not do this...;;;;;;;;;;;;;x
EVTOPTBsoulmates.1005;The potion is thick and slimy, and smells of freshly cut grass. Will this really help?;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1005;The potion seems safe enough, though whether or not it is effective remains to be seen.;;;;;;;;;;;;;x
EVTOPTCsoulmates.1005;The potion resembles thick, colourless liquid, and gives off faint, odourless fumes.;;;;;;;;;;;;;x
EVTOPTCTTsoulmates.1005;The potion seems safe to drink. Perhaps this will be effective?;;;;;;;;;;;;;x
EVTOPTDsoulmates.1005;The potion is the colour of a fine white wine, and smells of cloyingly-sweet fruit.;;;;;;;;;;;;;x
EVTOPTDTTsoulmates.1005;The potion seems safe to drink, and appears to be well-made. It would likely be effective.;;;;;;;;;;;;;x
EVTOPTEsoulmates.1005;The potion is the colour of rubies in firelight, and appears to have a life of its own.;;;;;;;;;;;;;x
EVTOPTETTsoulmates.1005;The potion appears to have a life of its own already, with how it dances about inside its bottle!;;;;;;;;;;;;;x
EVTOPTFsoulmates.1005;Perhaps it is better to wait...;;;;;;;;;;;;;x
EVTOPTFTTsoulmates.1005;You decide against using the potion.;;;;;;;;;;;;;x
EVTDESCsoulmates.1006;Invoking the name of [Root.GetRandomEvilGodName] under the cover of darkness, you determine that [Root.GetRandomEvilGodName] demands a life to create a life. There are many suitable sacrifices in your court...if you choose them, that is.;;;;;;;;;;;;;x
EVTOPTAsoulmates.1006;Hail [Root.Religion.GetRandomEvilGodName], thy will be done!;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1006;You sacrifice a courtier to [Root.Religion.GetRandomEvilGodName], in exchange for an unholy impregnation of your spouse. There is a chance that someone sees you committing this act...;;;;;;;;;;;;;x
EVTOPTBsoulmates.1006;Hail [Root.Religion.GetRandomEvilGodName], thy will be done...in the shadows!;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1006;You sacrifice a courtier to [Root.Religion.GetRandomEvilGodName]. Thanks to your abilities in intrigue, you are certain that you will not be caught.;;;;;;;;;;;;;x
EVTOPTCsoulmates.1006;Perhaps this is not the best idea...;;;;;;;;;;;;;x
EVTOPTCTTsoulmates.1006;You have second thoughts about doing something like this. Your wife is unlikely to be pleased with your indecision...;;;;;;;;;;;;;x
EVTDESCsoulmates.1007;You discover a healthy male courtier that is willing to assist your wife with having a child. Should you really go ahead with this?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1007;Well, she did want to have a child...;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1007;You allow the courtier to assist with your wife's wishes.;;;;;;;;;;;;;x
EVTOPTBsoulmates.1007;Absolutely not!;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1007;You have second thoughts and forbid it. Your wife is unlikely to be pleased...;;;;;;;;;;;;;x
EVTDESCsoulmates.1008;Every day, you find your thoughts drifting towards expanding your family. Your wife is still capable of bearing children. Perhaps you could ask her if she wants another little one?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1008;Perhaps she would be willing...;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1008;You ask your wife if she would be willing to bear a child.;;;;;;;;;;;;;x
EVTOPTBsoulmates.1008;No, perhaps not.;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1008;You refrain from asking your wife about bearing a child.;;;;;;;;;;;;;x
EVTDESCsoulmates.1009;Your wife approached you earlier today about her proposal to have more children. She proposes that you would be the mother of the child. How do you respond to her request?;;;;;;;;;;;;;x
EVTOPTAsoulmates.1009;I suppose I could do it...;;;;;;;;;;;;;x
EVTOPTATTsoulmates.1009;You decide to accept her request. WARNING: THIS CHILD WILL BE OF YOUR WIFE'S DYNASTY!;;;;;;;;;;;;;x
EVTOPTBsoulmates.1009;No. Absolutely not!;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.1009;You refuse your wife's request.;;;;;;;;;;;;;x
EVTDESCsoulmates.1010;Your wife has refused your request for more children. Though the refusal stings your heart, perhaps it is for the best?;;;;;;;;;;;;;x
