#CODE;ENGLISH;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAssists;Spouse Assists with Rule;;;;;;;;;;;;;x
EVTDESCsoulmates.5201;Seeing that you are terribly busy with handling day-to-day affairs of the realm, your [Root.Spouse.GetHusbandWife] has taken it upon [Root.Spouse.GetHerselfHimself] to treat with dignitaries of foreign realms. Unfortunately, [Root.Spouse.GetSheHe] has only managed to infuriate them...;;;;;;;;;;;;;x
EVTOPTAsoulmates.5201;I'm sure this is just a misunderstanding.;;;;;;;;;;;;;x
EVTDESCsoulmates.5202;Seeing that you are terribly busy with handling day-to-day affairs of the realm, your [Root.Spouse.GetHusbandWife] has taken it upon [Root.Spouse.GetHerselfHimself] to treat with dignitaries of foreign realms. [Root.Spouse.GetSheHeCap] has settled grievances with some minor lords in a manner that advances your own agenda!;;;;;;;;;;;;;x
EVTOPTAsoulmates.5202;Excellent.;;;;;;;;;;;;;x
EVTDESCsoulmates.5203;Seeing that you are terribly busy with handling day-to-day affairs of the realm, your [Root.Spouse.GetHusbandWife] has taken it upon [Root.Spouse.GetHerselfHimself] to treat with dignitaries of foreign realms. [Root.Spouse.GetSheHeCap] has impressed several major lords in a manner that is satisfactory!;;;;;;;;;;;;;x
EVTOPTAsoulmates.5203;Excellent.;;;;;;;;;;;;;x
EVTDESCsoulmates.5204;Seeing that you are terribly busy with handling day-to-day affairs of the realm, your [Root.Spouse.GetHusbandWife] has taken it upon [Root.Spouse.GetHerselfHimself] to treat with dignitaries of foreign realms. [Root.Spouse.GetSheHeCap] has achieved an unprecedented treaty of cultural exchange between our two realms!;;;;;;;;;;;;;x
EVTOPTAsoulmates.5204;Wonderful news!;;;;;;;;;;;;;x
EVTDESCsoulmates.5211;Your [Root.Spouse.GetHusbandWife], fancying [Root.Spouse.GetHerselfHimself] a competent fighter, decided to try and drill the soldiers [Root.Spouse.GetHerselfHimself]. [Root.Spouse.GetSheHeCap] had been struck down in an accidental blow that [Root.Spouse.GetSheHe] had been unable to parry, leaving her with a nasty gash. The damage should heal, over time.;;;;;;;;;;;;;x
EVTOPTAsoulmates.5211;Oh dear.;;;;;;;;;;;;;x
EVTDESCsoulmates.5212;Your [Root.Spouse.GetHusbandWife] has been out all day drilling the troops. While [Root.Spouse.GetSheHe] has achieved some success, the troops are not particularly impressed.;;;;;;;;;;;;;x
EVTOPTAsoulmates.5212;Well, at least [Root.Spouse.GetSheHe] is trying [Root.Spouse.GetHerHis] best...;;;;;;;;;;;;;x
EVTDESCsoulmates.5213;Your [Root.Spouse.GetHusbandWife] has been drilling the commanders of the realm all day and instructing them in the arts of war. They appear to have learned something from [Root.Spouse.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAsoulmates.5213;Excellent.;;;;;;;;;;;;;x
EVTDESCsoulmates.5214;Your talented [Root.Spouse.GetHusbandWife] has been instructing the commanders of the realm in truly revolutionary ways to wage war. They appear to have learned much from [Root.Spouse.GetHerHis] expert teachings.;;;;;;;;;;;;;x
EVTOPTAsoulmates.5214;Wonderful news!;;;;;;;;;;;;;x
EVTDESCsoulmates.5221;Your foolish [Root.Spouse.GetHusbandWife] had gone with a large pouch of gold intending to invest in some profitable ventures, only to run into some charlatans. [Root.Spouse.GetSheHeCap] believed in what they had offered, and refused to listen to any of the other courtiers' warnings! Needless to say, the crafty swindlers have long since departed your realm...;;;;;;;;;;;;;x
EVTOPTAsoulmates.5221;My beautiful gold coins...gone forever...;;;;;;;;;;;;;x
EVTDESCsoulmates.5222;Your [Root.Spouse.GetHusbandWife] had gone to the market today with a large pouch of gold. After a day of trading and bartering goods, [Root.GetSheHe] has returned to the castle with a pouch slightly heavier than it was at the start of the day.;;;;;;;;;;;;;x
EVTOPTAsoulmates.5222;Gold is always good. I only wish it were more...;;;;;;;;;;;;;x
EVTDESCsoulmates.5223;Several investments that your [Root.Spouse.GetHusbandWife] has made in the past has borne fruit. Quite a fair amount of gold flows from these investments - straight into your coffers.;;;;;;;;;;;;;x
EVTOPTAsoulmates.5223;I could kiss [Root.Spouse.GetHerHim] for that!;;;;;;;;;;;;;x
