#CODE;ENGLISH;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAssistReq;Requesting Assistance from your [Root.Spouse.GetHusbandWife];;;;;;;;;;;;;x
EVTDESCsoulmates.6000;Your [Root.Spouse.GetHusbandWife], [Root.Spouse.GetFirstName], is truly talented in [Root.Spouse.GetHerHis] own way. Without a realm of [Root.Spouse.GetHerHis] own, however, these talents are wasted. Perhaps you could make good use of them...?;;;;;;;;;;;;;x
EVTOPTAsoulmates.6000;I do need help with keeping my records...;;;;;;;;;;;;;x
EVTOPTATTsoulmates.6000;You ask your [Root.Spouse.GetHusbandWife] to assist you with bookkeeping and administration.;;;;;;;;;;;;;x
EVTOPTBsoulmates.6000;[Root.Spouse.GetSheHeCap] must help improve my reputation!;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.6000;You ask your [Root.Spouse.GetHusbandWife] to assist you with diplomatic overtures.;;;;;;;;;;;;;x
EVTOPTCsoulmates.6000;My soldiers could learn a thing or two from my [Root.Spouse.GetHusbandWife].;;;;;;;;;;;;;x
EVTOPTCTTsoulmates.6000;You ask your [Root.Spouse.GetHusbandWife] to assist you with preparing the realm for war.;;;;;;;;;;;;;x
EVTOPTDsoulmates.6000;I shouldn't put more pressure on my [Root.Spouse.GetHusbandWife]...;;;;;;;;;;;;;x
EVTOPTDTTsoulmates.6000;You decide to not ask your spouse to do anything.;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAdmReform;Administrative Reforms;;;;;;;;;;;;;x
EVTDESCsoulmates.6100;Your [Root.Spouse.GetHusbandWife], [Root.Spouse.GetFirstName], has accepted your order to help improve the realm's economic affairs. [Root.Spouse.GetSheHeCap] appears to be somewhat displeased by this order, however - it is not a small task you have placed on [Root.Spouse.GetHerHim], after all.;;;;;;;;;;;;;x
EVTOPTAsoulmates.6100;My orders still stand, whether or not [Root.Spouse.GetSheHe] likes it!;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAdmNobleTax;Administrative Reform: Taxation;;;;;;;;;;;;;x
EVTDESCsoulmates.6101;The lords of your realm have long enjoyed tax privileges that leech valuable gold from your treasury. By eliminating these privileges, your [Root.Spouse.GetHusbandWife] suggests that more gold would flow into your coffers. Your noble vassals, however, are unlikely to be pleased...;;;;;;;;;;;;;x
EVTOPTAsoulmates.6101;Make it so! The realm's treasury shall flow with gold!;;;;;;;;;;;;;x
EVTOPTATTsoulmates.6101;You decide to revoke some tax privileges from the nobility.;;;;;;;;;;;;;x
EVTOPTBsoulmates.6101;I dare not anger them. Perhaps we should look someplace else.;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.6101;You decide to not revoke any tax privileges from the nobility.;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAdmTradePromotion;Administrative Reform: Promoting Trade;;;;;;;;;;;;;x
EVTDESCsoulmates.6102;Your [Root.Spouse.GetHusbandWife] has brought to you several letters from prominent merchants in your realm. They propose the establishment of a major trade route passing through one of your provinces, which would bring much wealth. All they require is your blessing - and some gold to pave the route.;;;;;;;;;;;;;x
EVTOPTAsoulmates.6102;Make it so.;;;;;;;;;;;;;x
EVTOPTATTsoulmates.6102;You pay for the road and have the trade route established.;;;;;;;;;;;;;x
EVTOPTBsoulmates.6102;It's too expensive.;;;;;;;;;;;;;x
EVTOPTBTTsoulmates.6102;You don't pay for the road. The trade route remains only a plan, and nothing more.;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAdmPurge;Administrative Reform: Corruption;;;;;;;;;;;;;x
EVTDESCsoulmates.6103;One of your mayors is famously arbitrary, and as a result, taxation flowing into your coffers has suffered. Recently, however, your spouse has uncovered evidence that quite a significant amount of money being embezzled by him. More than enough evidence to warrant an arrest.;;;;;;;;;;;;;x
EVTOPTAsoulmates.6103;Into the dungeons with him!;;;;;;;;;;;;;x
EVTOPTATTsoulmates.6103;The corrupt mayor is thrown into your dungeons.;;;;;;;;;;;;;x
EVTTITLEsoulmatesSpouseAdmCensus;Administrative Reform: Census;;;;;;;;;;;;;x
